maintenance_id,date_logged,vehicle_id,fault_type,severity,days_from_first_signal_to_detection,downtime_hours,cost_gbp
M00430,2026-02-19,V0181,SensorMalfunction,Medium,6,10,713
M00431,2026-02-19,V0099,EngineFault,Low,5,3,160
M00432,2026-02-19,V0095,BodyDamage,Critical,2,73,3779
M00433,2026-02-19,V0288,SensorMalfunction,High,0,27,1464
M00434,2026-02-19,V0375,SensorMalfunction,Medium,4,13,390
M00435,2026-02-20,V0392,SensorMalfunction,Medium,8,10,554
M00436,2026-02-20,V0091,BodyDamage,Low,3,4,89
M00437,2026-02-20,V0120,SensorMalfunction,Low,4,6,268
M00438,2026-02-20,V0025,BodyDamage,Medium,4,9,530
M00439,2026-02-20,V0386,TyreWear,Low,7,5,84
M00440,2026-02-20,V0087,TyreWear,High,6,24,1355
M00441,2026-02-20,V0383,SensorMalfunction,Low,15,7,442
M00442,2026-02-20,V0031,BodyDamage,Medium,6,12,723
M00443,2026-02-20,V0203,SensorMalfunction,Medium,8,10,436
M00444,2026-02-20,V0250,BrakeIssue,Medium,5,9,643
M00445,2026-02-20,V0020,BatteryDegradation,Low,7,7,293
M00446,2026-02-20,V0311,BodyDamage,Critical,0,72,3579
M00447,2026-02-20,V0297,BrakeIssue,High,1,28,1335
M00448,2026-02-20,V0157,EngineFault,Low,3,5,470
M00449,2026-02-20,V0112,BatteryDegradation,Medium,7,13,378
M00450,2026-02-20,V0254,BatteryDegradation,Critical,1,72,3625
M00451,2026-02-20,V0356,TyreWear,High,1,24,1256
M00452,2026-02-20,V0125,BatteryDegradation,Critical,3,77,3889
M00453,2026-02-20,V0284,TyreWear,Low,8,5,434
M00454,2026-02-20,V0186,BrakeIssue,Critical,5,73,3886
M00455,2026-02-20,V0378,EngineFault,Low,7,5,82
M00456,2026-02-20,V0318,TyreWear,Critical,2,72,3778
M00457,2026-02-20,V0191,BodyDamage,Medium,5,8,493
M00458,2026-02-20,V0086,TyreWear,High,4,27,1312
M00459,2026-02-20,V0159,BodyDamage,Medium,6,12,663
M00460,2026-02-20,V0251,BatteryDegradation,Critical,3,73,3521
M00461,2026-02-20,V0293,TyreWear,Medium,6,11,666
M00462,2026-02-20,V0372,BodyDamage,Critical,2,72,3554
M00463,2026-02-21,V0274,BatteryDegradation,Low,5,6,243
M00464,2026-02-21,V0235,BatteryDegradation,Low,7,5,245
M00465,2026-02-21,V0279,BatteryDegradation,Critical,3,72,3609
M00466,2026-02-21,V0393,SensorMalfunction,Medium,8,8,403
M00467,2026-02-21,V0278,BrakeIssue,Medium,7,11,681
M00468,2026-02-21,V0093,BodyDamage,Medium,9,13,506
M00469,2026-02-21,V0088,BatteryDegradation,Medium,10,9,474
M00470,2026-02-21,V0193,BrakeIssue,High,4,24,1203
M00471,2026-02-21,V0130,EngineFault,Medium,9,9,520
M00472,2026-02-21,V0071,SensorMalfunction,High,1,26,1433
M00473,2026-02-21,V0050,BodyDamage,Critical,5,76,3707
M00474,2026-02-21,V0049,SensorMalfunction,High,2,26,1517
M00475,2026-02-21,V0030,EngineFault,High,4,26,1491
M00476,2026-02-21,V0027,BrakeIssue,High,3,24,1453
M00477,2026-02-21,V0169,EngineFault,Medium,7,8,518
M00478,2026-02-21,V0280,BodyDamage,Critical,4,75,3598
M00479,2026-02-21,V0187,SensorMalfunction,Critical,5,73,3701
M00480,2026-02-21,V0265,BodyDamage,High,3,29,1305
M00481,2026-02-21,V0387,SensorMalfunction,Medium,6,11,462
M00482,2026-02-21,V0287,EngineFault,Critical,2,75,3690
M00483,2026-02-21,V0040,BatteryDegradation,Medium,9,8,422
M00484,2026-02-21,V0251,BrakeIssue,Low,4,3,285
M00485,2026-02-21,V0102,BatteryDegradation,High,2,24,1218
M00486,2026-02-21,V0135,EngineFault,Medium,9,9,553
M00487,2026-02-22,V0155,SensorMalfunction,Medium,10,13,460
M00488,2026-02-22,V0275,BodyDamage,Low,5,6,196
M00489,2026-02-22,V0015,BatteryDegradation,High,5,28,1584
M00490,2026-02-22,V0298,EngineFault,Medium,7,8,373
M00491,2026-02-22,V0214,TyreWear,Critical,1,73,3783
M00492,2026-02-22,V0044,BodyDamage,Low,7,4,247
M00493,2026-02-22,V0233,EngineFault,Critical,4,73,3775
M00494,2026-02-22,V0048,BatteryDegradation,Medium,12,8,713
M00495,2026-02-22,V0123,EngineFault,Low,15,3,263
M00496,2026-02-22,V0019,BodyDamage,Critical,2,74,3544
M00497,2026-02-22,V0093,TyreWear,Critical,4,72,3541
M00498,2026-02-22,V0048,SensorMalfunction,Low,4,5,277
M00499,2026-02-22,V0042,EngineFault,Critical,3,76,3669
M00500,2026-02-22,V0055,SensorMalfunction,Medium,8,11,707
M00501,2026-02-22,V0299,SensorMalfunction,High,7,27,1539
M00502,2026-02-22,V0152,BodyDamage,High,6,29,1358
M00503,2026-02-22,V0345,EngineFault,High,2,28,1284
M00504,2026-02-22,V0216,BrakeIssue,High,3,24,1298
M00505,2026-02-22,V0361,BatteryDegradation,Low,7,5,197
M00506,2026-02-22,V0031,TyreWear,Low,3,3,415
M00507,2026-02-22,V0375,SensorMalfunction,Low,12,7,253
M00508,2026-02-22,V0069,BatteryDegradation,Medium,10,13,376
M00509,2026-02-22,V0145,TyreWear,Critical,1,77,3732
M00510,2026-02-23,V0350,BrakeIssue,Low,4,6,392
M00511,2026-02-23,V0237,BrakeIssue,Low,8,2,459
M00512,2026-02-23,V0360,BatteryDegradation,Low,9,7,357
M00513,2026-02-23,V0285,TyreWear,Medium,8,12,584
M00514,2026-02-23,V0163,BodyDamage,Low,8,5,347
M00515,2026-02-23,V0070,SensorMalfunction,Medium,6,10,625
M00516,2026-02-23,V0017,BatteryDegradation,Medium,10,12,736
M00517,2026-02-23,V0304,TyreWear,Low,7,7,379
M00518,2026-02-23,V0038,TyreWear,Medium,8,12,577
M00519,2026-02-23,V0114,BrakeIssue,High,1,28,1557
M00520,2026-02-23,V0364,BrakeIssue,High,2,26,1563
M00521,2026-02-23,V0302,SensorMalfunction,Medium,9,11,668
M00522,2026-02-23,V0181,TyreWear,Low,7,2,358
M00523,2026-02-23,V0033,BodyDamage,Critical,2,72,3510
M00524,2026-02-23,V0149,SensorMalfunction,High,6,28,1272
M00525,2026-02-23,V0394,BatteryDegradation,Critical,3,76,3756
M00526,2026-02-23,V0368,EngineFault,Low,4,7,409
M00527,2026-02-23,V0131,BodyDamage,Medium,6,9,605
M00528,2026-02-23,V0029,EngineFault,Critical,2,77,3762
M00529,2026-02-23,V0128,BodyDamage,Low,5,2,138
M00530,2026-02-23,V0022,SensorMalfunction,High,3,26,1593
M00531,2026-02-23,V0021,BrakeIssue,Low,13,4,339
M00532,2026-02-23,V0365,TyreWear,Medium,5,10,369
M00533,2026-02-24,V0190,SensorMalfunction,High,0,29,1200
M00534,2026-02-24,V0235,SensorMalfunction,High,3,24,1320
M00535,2026-02-24,V0020,BatteryDegradation,Medium,5,9,463
M00536,2026-02-24,V0127,BodyDamage,Low,10,7,281
M00537,2026-02-24,V0254,SensorMalfunction,High,3,28,1494
M00538,2026-02-24,V0344,SensorMalfunction,Medium,7,11,386
M00539,2026-02-24,V0191,TyreWear,Medium,8,11,674
M00540,2026-02-24,V0065,BodyDamage,Low,3,3,100
M00541,2026-02-24,V0262,BrakeIssue,Low,9,6,210
M00542,2026-02-24,V0326,BodyDamage,Medium,8,13,397
M00543,2026-02-24,V0220,SensorMalfunction,Medium,7,9,687
M00544,2026-02-24,V0079,BrakeIssue,Low,9,7,259
M00545,2026-02-24,V0206,TyreWear,Critical,0,75,3702
M00546,2026-02-24,V0239,BrakeIssue,Low,10,5,325
M00547,2026-02-24,V0213,TyreWear,Critical,2,73,3521
M00548,2026-02-24,V0188,EngineFault,Critical,4,76,3531
M00549,2026-02-24,V0250,TyreWear,Critical,0,73,3829
M00550,2026-02-24,V0031,BrakeIssue,Critical,3,75,3616
M00551,2026-02-24,V0176,BodyDamage,High,4,26,1520
M00552,2026-02-24,V0142,EngineFault,High,2,26,1303
M00553,2026-02-24,V0011,BrakeIssue,Critical,2,73,3728
M00554,2026-02-24,V0238,BatteryDegradation,Low,1,7,291
M00555,2026-02-24,V0259,BatteryDegradation,Low,9,6,124
M00556,2026-02-24,V0092,EngineFault,Low,9,4,119
M00557,2026-02-24,V0364,EngineFault,Medium,5,9,597
M00558,2026-02-24,V0219,BrakeIssue,Low,4,7,84
M00559,2026-02-24,V0115,BatteryDegradation,Low,11,3,403
M00560,2026-02-25,V0133,BrakeIssue,Low,13,6,299
M00561,2026-02-25,V0205,BodyDamage,Low,7,3,412
M00562,2026-02-25,V0251,BatteryDegradation,Medium,6,11,401
M00563,2026-02-25,V0095,SensorMalfunction,Low,9,5,83
M00564,2026-02-25,V0396,BrakeIssue,Critical,2,74,3558
M00565,2026-02-25,V0211,TyreWear,Low,3,7,183
M00566,2026-02-25,V0120,BodyDamage,Medium,7,12,521
M00567,2026-02-25,V0179,TyreWear,Low,13,5,135
M00568,2026-02-25,V0258,TyreWear,Low,12,7,321
M00569,2026-02-25,V0385,BodyDamage,Medium,7,8,723
M00570,2026-02-25,V0231,BrakeIssue,Low,7,2,271
M00571,2026-02-25,V0167,BrakeIssue,Low,10,5,385
M00572,2026-02-25,V0233,SensorMalfunction,Critical,1,75,3815
M00573,2026-02-25,V0044,EngineFault,Low,7,4,318
M00574,2026-02-25,V0276,SensorMalfunction,High,1,25,1222
M00575,2026-02-25,V0178,TyreWear,Medium,8,13,524
M00576,2026-02-25,V0283,SensorMalfunction,Low,6,6,195
M00577,2026-02-25,V0026,EngineFault,Medium,11,12,624
M00578,2026-02-25,V0062,BodyDamage,Critical,5,77,3771
M00579,2026-02-25,V0009,BrakeIssue,Critical,3,73,3841
M00580,2026-02-25,V0173,TyreWear,Critical,1,75,3631
M00581,2026-02-25,V0234,EngineFault,Critical,4,77,3509
M00582,2026-02-25,V0026,BatteryDegradation,Low,11,7,259
M00583,2026-02-25,V0027,BatteryDegradation,Low,11,6,123
M00584,2026-02-25,V0192,TyreWear,Medium,5,12,526
M00585,2026-02-25,V0235,BrakeIssue,Medium,14,10,461
M00586,2026-02-25,V0319,TyreWear,High,2,25,1443
M00587,2026-02-25,V0227,BodyDamage,Low,8,2,190
M00588,2026-02-25,V0395,BatteryDegradation,Medium,8,13,658
M00589,2026-02-25,V0350,BrakeIssue,Medium,10,13,543
M00590,2026-02-25,V0041,BodyDamage,Low,3,2,252
M00591,2026-02-26,V0367,BodyDamage,Medium,5,12,494
M00592,2026-02-26,V0326,SensorMalfunction,High,3,26,1485
M00593,2026-02-26,V0209,BatteryDegradation,Low,5,7,399
M00594,2026-02-26,V0350,TyreWear,Low,6,2,447
M00595,2026-02-26,V0329,BodyDamage,Medium,10,8,693
M00596,2026-02-26,V0255,BodyDamage,Low,11,7,163
M00597,2026-02-26,V0397,BrakeIssue,Critical,2,73,3688
M00598,2026-02-26,V0284,SensorMalfunction,High,1,25,1316
M00599,2026-02-26,V0074,EngineFault,Low,9,2,169
M00600,2026-02-26,V0368,BodyDamage,Medium,4,11,351
M00601,2026-02-26,V0105,BodyDamage,Critical,4,74,3819
M00602,2026-02-26,V0309,BatteryDegradation,Medium,8,11,439
M00603,2026-02-26,V0216,SensorMalfunction,High,4,24,1349
M00604,2026-02-26,V0172,TyreWear,Medium,8,9,567
M00605,2026-02-26,V0033,BatteryDegradation,Medium,12,9,636
M00606,2026-02-26,V0147,BrakeIssue,Medium,5,8,446
M00607,2026-02-26,V0252,BatteryDegradation,Medium,7,10,697
M00608,2026-02-26,V0292,BrakeIssue,Medium,7,10,376
M00609,2026-02-26,V0124,EngineFault,Critical,6,73,3718
M00610,2026-02-26,V0124,SensorMalfunction,Critical,1,72,3732
M00611,2026-02-26,V0165,SensorMalfunction,High,4,26,1480
M00612,2026-02-26,V0067,TyreWear,Low,10,3,284
M00613,2026-02-26,V0291,EngineFault,Medium,7,9,553
M00614,2026-02-26,V0168,BodyDamage,Medium,5,9,469
M00615,2026-02-26,V0357,SensorMalfunction,Medium,10,9,723
M00616,2026-02-26,V0376,BodyDamage,Low,8,6,410
M00617,2026-02-26,V0132,BatteryDegradation,Medium,9,12,688
M00618,2026-02-26,V0343,BatteryDegradation,Low,8,5,250
M00619,2026-02-27,V0392,EngineFault,High,4,24,1582
M00620,2026-02-27,V0207,TyreWear,High,3,24,1504
M00621,2026-02-27,V0296,BodyDamage,Critical,4,74,3850
M00622,2026-02-27,V0044,BatteryDegradation,High,3,25,1530
M00623,2026-02-27,V0228,SensorMalfunction,Medium,7,11,372
M00624,2026-02-27,V0256,BodyDamage,Critical,1,74,3699
M00625,2026-02-27,V0351,BatteryDegradation,Medium,6,11,480
M00626,2026-02-27,V0024,SensorMalfunction,Critical,1,74,3899
M00627,2026-02-27,V0041,BatteryDegradation,Critical,5,73,3701
M00628,2026-02-27,V0351,TyreWear,Low,9,2,247
M00629,2026-02-27,V0202,BodyDamage,Low,6,7,175
M00630,2026-02-27,V0318,EngineFault,Medium,8,11,462
M00631,2026-02-27,V0168,TyreWear,Medium,7,9,426
M00632,2026-02-27,V0238,BrakeIssue,Critical,3,72,3684
M00633,2026-02-27,V0304,BrakeIssue,Medium,9,11,660
M00634,2026-02-27,V0255,SensorMalfunction,Low,12,6,219
M00635,2026-02-27,V0283,BrakeIssue,High,1,28,1373
M00636,2026-02-27,V0152,BatteryDegradation,Low,2,4,318
M00637,2026-02-27,V0264,BatteryDegradation,Critical,2,73,3822
M00638,2026-02-27,V0034,EngineFault,Low,10,6,274
M00639,2026-02-27,V0244,SensorMalfunction,High,0,26,1295
M00640,2026-02-27,V0400,BodyDamage,High,3,27,1244
M00641,2026-02-27,V0036,SensorMalfunction,Low,7,3,419
M00642,2026-02-27,V0349,SensorMalfunction,Medium,7,11,402
M00643,2026-02-28,V0229,EngineFault,Medium,9,8,702
M00644,2026-02-28,V0271,BodyDamage,Medium,6,10,653
M00645,2026-02-28,V0291,BatteryDegradation,High,3,29,1249
M00646,2026-02-28,V0081,EngineFault,Critical,3,76,3704
M00647,2026-02-28,V0060,EngineFault,Medium,7,8,603
M00648,2026-02-28,V0347,BodyDamage,Critical,1,75,3594
M00649,2026-02-28,V0011,EngineFault,Medium,10,12,689
M00650,2026-02-28,V0010,EngineFault,Critical,7,74,3701
M00651,2026-02-28,V0127,BodyDamage,Medium,6,11,541
M00652,2026-02-28,V0250,EngineFault,Medium,8,13,410
M00653,2026-02-28,V0177,TyreWear,Critical,4,73,3582
M00654,2026-02-28,V0244,TyreWear,Critical,1,73,3716
M00655,2026-02-28,V0352,TyreWear,Low,6,7,192
M00656,2026-02-28,V0224,EngineFault,Critical,6,77,3860
M00657,2026-02-28,V0181,TyreWear,Low,3,7,335
M00658,2026-02-28,V0090,EngineFault,Medium,9,12,441
M00659,2026-02-28,V0254,EngineFault,Medium,8,11,649
M00660,2026-02-28,V0083,BatteryDegradation,Medium,9,11,395
M00661,2026-02-28,V0022,BodyDamage,Critical,4,77,3705
M00662,2026-02-28,V0116,SensorMalfunction,Low,11,5,275
M00663,2026-02-28,V0130,BrakeIssue,Medium,5,8,643
M00664,2026-02-28,V0194,SensorMalfunction,Critical,2,72,3594
M00665,2026-02-28,V0334,BrakeIssue,High,5,24,1584
M00666,2026-02-28,V0255,BrakeIssue,Medium,10,12,648
M00667,2026-02-28,V0113,BodyDamage,Medium,7,12,524
M00668,2026-02-28,V0142,SensorMalfunction,Critical,1,76,3591
M00669,2026-02-28,V0377,TyreWear,Medium,9,11,586
M00670,2026-02-28,V0133,EngineFault,Low,8,3,228
M00671,2026-02-28,V0299,BrakeIssue,Low,12,5,332
M00672,2026-02-28,V0156,SensorMalfunction,Critical,2,72,3882
M00673,2026-03-01,V0397,TyreWear,Medium,11,12,674
M00674,2026-03-01,V0379,EngineFault,Low,7,3,111
M00675,2026-03-01,V0341,TyreWear,Low,9,7,268
M00676,2026-03-01,V0336,TyreWear,Low,6,2,415
M00677,2026-03-01,V0065,BrakeIssue,Low,6,5,83
M00678,2026-03-01,V0201,BrakeIssue,Medium,9,11,442
M00679,2026-03-01,V0092,BrakeIssue,Low,11,6,295
M00680,2026-03-01,V0340,TyreWear,Low,9,6,277
M00681,2026-03-01,V0232,SensorMalfunction,Low,5,6,276
M00682,2026-03-01,V0347,BrakeIssue,Medium,10,11,413
M00683,2026-03-01,V0044,BodyDamage,Low,9,2,320
M00684,2026-03-01,V0200,BodyDamage,Medium,11,13,390
M00685,2026-03-01,V0279,EngineFault,Low,9,5,250
M00686,2026-03-01,V0329,BrakeIssue,Medium,6,8,527
M00687,2026-03-01,V0030,BodyDamage,Medium,7,13,409
M00688,2026-03-01,V0076,BodyDamage,Critical,3,77,3891
M00689,2026-03-01,V0153,TyreWear,Medium,12,8,493
M00690,2026-03-01,V0166,BrakeIssue,Low,6,5,303
M00691,2026-03-01,V0341,TyreWear,High,5,28,1560
M00692,2026-03-01,V0342,SensorMalfunction,Critical,7,77,3520
M00693,2026-03-01,V0208,TyreWear,Medium,7,13,520
M00694,2026-03-01,V0003,BodyDamage,Low,9,3,282
M00695,2026-03-01,V0316,SensorMalfunction,Medium,16,8,509
M00696,2026-03-01,V0323,SensorMalfunction,Medium,9,10,686
M00697,2026-03-01,V0207,TyreWear,Low,12,7,207
M00698,2026-03-01,V0340,TyreWear,High,4,28,1569
M00699,2026-03-01,V0338,EngineFault,Critical,2,77,3721
M00700,2026-03-01,V0160,SensorMalfunction,Low,7,5,245
M00701,2026-03-01,V0147,BatteryDegradation,Low,10,4,450
M00702,2026-03-01,V0400,TyreWear,Low,8,6,85
M00703,2026-03-02,V0191,BrakeIssue,Medium,11,13,543
M00704,2026-03-02,V0346,BodyDamage,High,1,25,1590
M00705,2026-03-02,V0385,BodyDamage,High,3,29,1432
M00706,2026-03-02,V0141,BrakeIssue,Medium,4,13,702
M00707,2026-03-02,V0262,BodyDamage,Low,12,7,89
M00708,2026-03-02,V0131,BodyDamage,Medium,8,12,589
M00709,2026-03-02,V0120,TyreWear,High,3,24,1251
M00710,2026-03-02,V0141,EngineFault,High,5,25,1424
M00711,2026-03-02,V0189,EngineFault,Medium,9,13,510
M00712,2026-03-02,V0377,EngineFault,Medium,9,13,514
M00713,2026-03-02,V0352,BodyDamage,Low,11,4,380
M00714,2026-03-02,V0293,TyreWear,Critical,1,75,3887
M00715,2026-03-02,V0201,TyreWear,High,1,29,1388
M00716,2026-03-02,V0261,EngineFault,Low,5,5,352
M00717,2026-03-02,V0032,BodyDamage,Low,12,3,289
M00718,2026-03-02,V0194,EngineFault,Low,8,3,466
M00719,2026-03-02,V0100,SensorMalfunction,Medium,5,11,504
M00720,2026-03-02,V0272,EngineFault,High,3,28,1576
M00721,2026-03-02,V0325,EngineFault,Low,14,7,248
M00722,2026-03-02,V0092,SensorMalfunction,Critical,3,73,3885
M00723,2026-03-02,V0027,EngineFault,High,1,27,1247
M00724,2026-03-03,V0009,TyreWear,High,1,25,1208
M00725,2026-03-03,V0228,EngineFault,Medium,3,11,662
M00726,2026-03-03,V0090,SensorMalfunction,Low,10,3,88
M00727,2026-03-03,V0039,EngineFault,Low,5,6,246
M00728,2026-03-03,V0353,SensorMalfunction,Critical,5,73,3809
M00729,2026-03-03,V0010,BatteryDegradation,High,4,24,1308
M00730,2026-03-03,V0143,BrakeIssue,Medium,9,10,352
M00731,2026-03-03,V0091,BodyDamage,Low,3,5,367
M00732,2026-03-03,V0144,TyreWear,Low,4,5,361
M00733,2026-03-03,V0132,BatteryDegradation,Medium,9,10,390
M00734,2026-03-03,V0312,BodyDamage,Medium,11,12,409
M00735,2026-03-03,V0394,BodyDamage,High,4,25,1341
M00736,2026-03-03,V0218,EngineFault,Critical,6,75,3673
M00737,2026-03-03,V0065,SensorMalfunction,Low,7,2,121
M00738,2026-03-03,V0365,SensorMalfunction,High,1,27,1269
M00739,2026-03-03,V0143,BodyDamage,Low,10,6,101
M00740,2026-03-03,V0348,BrakeIssue,Critical,4,72,3657
M00741,2026-03-03,V0321,BatteryDegradation,Low,8,3,444
M00742,2026-03-03,V0314,EngineFault,High,3,26,1385
M00743,2026-03-03,V0027,BatteryDegradation,High,0,26,1430
M00744,2026-03-03,V0300,EngineFault,Medium,10,8,360
M00745,2026-03-03,V0275,EngineFault,Medium,8,13,580
M00746,2026-03-03,V0379,BatteryDegradation,Medium,8,11,370
M00747,2026-03-03,V0264,TyreWear,Critical,2,75,3766
M00748,2026-03-03,V0342,BrakeIssue,Low,8,7,107
M00749,2026-03-03,V0285,EngineFault,Low,6,6,410
M00750,2026-03-03,V0382,BodyDamage,High,3,25,1257
M00751,2026-03-03,V0167,BatteryDegradation,Medium,9,10,571
M00752,2026-03-03,V0306,SensorMalfunction,High,3,26,1420
M00753,2026-03-03,V0105,TyreWear,Medium,9,11,388
M00754,2026-03-03,V0116,TyreWear,Critical,3,73,3565
M00755,2026-03-03,V0027,BodyDamage,Medium,7,9,483
M00756,2026-03-03,V0166,SensorMalfunction,Critical,1,75,3675
M00757,2026-03-04,V0259,EngineFault,Low,7,3,376
M00758,2026-03-04,V0209,BatteryDegradation,Low,9,3,453
M00759,2026-03-04,V0302,SensorMalfunction,Medium,11,10,727
M00760,2026-03-04,V0305,SensorMalfunction,Medium,13,13,418
M00761,2026-03-04,V0210,SensorMalfunction,Critical,3,74,3821
M00762,2026-03-04,V0154,SensorMalfunction,High,7,25,1369
M00763,2026-03-04,V0127,BodyDamage,Medium,16,9,612
M00764,2026-03-04,V0161,TyreWear,Critical,5,74,3640
M00765,2026-03-04,V0236,EngineFault,Critical,3,76,3564
M00766,2026-03-04,V0157,BatteryDegradation,Medium,13,13,398
M00767,2026-03-04,V0119,BatteryDegradation,High,2,28,1425
M00768,2026-03-04,V0080,BatteryDegradation,High,4,29,1575
M00769,2026-03-04,V0202,BodyDamage,Medium,9,13,615
M00770,2026-03-04,V0135,SensorMalfunction,High,3,28,1242
M00771,2026-03-04,V0369,SensorMalfunction,Medium,9,10,477
M00772,2026-03-04,V0073,EngineFault,High,6,28,1324
M00773,2026-03-04,V0092,TyreWear,High,2,28,1205
M00774,2026-03-04,V0396,BatteryDegradation,Low,4,3,189
M00775,2026-03-04,V0063,TyreWear,Medium,5,13,547
M00776,2026-03-04,V0247,SensorMalfunction,Critical,5,72,3761
M00777,2026-03-04,V0216,BatteryDegradation,Medium,10,11,465
M00778,2026-03-04,V0215,SensorMalfunction,Critical,1,77,3767
M00779,2026-03-04,V0174,BrakeIssue,Low,6,3,370
M00780,2026-03-04,V0132,SensorMalfunction,Low,10,2,207
M00781,2026-03-04,V0263,BatteryDegradation,Low,7,6,444
M00782,2026-03-05,V0069,TyreWear,Critical,1,72,3565
M00783,2026-03-05,V0118,TyreWear,Low,10,6,215
M00784,2026-03-05,V0039,EngineFault,Medium,6,9,661
M00785,2026-03-05,V0226,SensorMalfunction,Critical,5,74,3609
M00786,2026-03-05,V0141,TyreWear,Medium,11,8,686
M00787,2026-03-05,V0097,BrakeIssue,Medium,6,11,350
M00788,2026-03-05,V0022,EngineFault,Low,1,5,354
M00789,2026-03-05,V0067,BrakeIssue,High,4,29,1522
M00790,2026-03-05,V0309,BatteryDegradation,High,4,24,1406
M00791,2026-03-05,V0300,EngineFault,High,2,24,1536
M00792,2026-03-05,V0185,SensorMalfunction,Medium,8,12,372
M00793,2026-03-05,V0254,TyreWear,Low,9,2,158
M00794,2026-03-05,V0344,EngineFault,Low,13,3,423
M00795,2026-03-05,V0276,BatteryDegradation,Medium,7,8,386
M00796,2026-03-05,V0047,TyreWear,Medium,8,8,521
M00797,2026-03-05,V0194,SensorMalfunction,Medium,6,9,420
M00798,2026-03-05,V0063,BrakeIssue,Low,5,7,91
M00799,2026-03-05,V0265,SensorMalfunction,Medium,8,10,691
M00800,2026-03-05,V0047,EngineFault,Low,4,3,96
M00801,2026-03-05,V0264,BrakeIssue,High,4,29,1359
M00802,2026-03-05,V0019,TyreWear,Medium,9,13,667
M00803,2026-03-06,V0125,BodyDamage,Medium,10,9,460
M00804,2026-03-06,V0385,EngineFault,Critical,4,76,3706
M00805,2026-03-06,V0288,BatteryDegradation,Medium,6,13,713
M00806,2026-03-06,V0092,SensorMalfunction,Low,9,6,450
M00807,2026-03-06,V0258,EngineFault,Low,5,5,400
M00808,2026-03-06,V0333,BodyDamage,Critical,1,75,3657
M00809,2026-03-06,V0132,TyreWear,Medium,9,8,405
M00810,2026-03-06,V0400,BodyDamage,High,2,24,1577
M00811,2026-03-06,V0294,BodyDamage,Critical,3,73,3561
M00812,2026-03-06,V0063,EngineFault,Medium,5,13,353
M00813,2026-03-06,V0195,BatteryDegradation,Low,8,6,249
M00814,2026-03-06,V0011,EngineFault,High,3,29,1484
M00815,2026-03-06,V0309,EngineFault,High,2,24,1202
M00816,2026-03-06,V0277,SensorMalfunction,Medium,10,13,398
M00817,2026-03-06,V0336,BodyDamage,Critical,3,76,3692
M00818,2026-03-06,V0292,TyreWear,High,10,26,1405
M00819,2026-03-06,V0237,BrakeIssue,Critical,3,75,3506
M00820,2026-03-06,V0195,BrakeIssue,Critical,4,72,3505
M00821,2026-03-06,V0092,BatteryDegradation,Critical,4,72,3852
M00822,2026-03-06,V0220,BatteryDegradation,Medium,13,12,693
M00823,2026-03-06,V0106,EngineFault,Medium,12,12,439
M00824,2026-03-06,V0383,BrakeIssue,Low,8,3,223
M00825,2026-03-06,V0386,SensorMalfunction,High,3,27,1425
M00826,2026-03-06,V0359,TyreWear,Critical,5,76,3850
M00827,2026-03-06,V0312,BodyDamage,Medium,11,13,460
M00828,2026-03-06,V0364,SensorMalfunction,High,3,29,1271
M00829,2026-03-06,V0147,BrakeIssue,Medium,4,12,534
M00830,2026-03-06,V0108,BrakeIssue,Low,8,3,84
M00831,2026-03-06,V0390,TyreWear,Medium,6,10,738
M00832,2026-03-07,V0275,BrakeIssue,Medium,7,13,680
M00833,2026-03-07,V0147,EngineFault,High,2,28,1329
M00834,2026-03-07,V0196,BatteryDegradation,Medium,7,10,627
M00835,2026-03-07,V0348,BatteryDegradation,Critical,1,76,3694
M00836,2026-03-07,V0003,SensorMalfunction,Medium,5,11,529
M00837,2026-03-07,V0223,EngineFault,Critical,4,77,3613
M00838,2026-03-07,V0387,BodyDamage,High,4,24,1415
M00839,2026-03-07,V0387,SensorMalfunction,Medium,7,8,709
M00840,2026-03-07,V0178,TyreWear,Low,7,6,226
M00841,2026-03-07,V0065,TyreWear,Low,3,7,333
M00842,2026-03-07,V0320,SensorMalfunction,Critical,4,75,3684
M00843,2026-03-07,V0073,SensorMalfunction,Medium,8,11,690
M00844,2026-03-07,V0194,BodyDamage,Critical,6,74,3582
M00845,2026-03-07,V0269,BrakeIssue,Low,8,3,440
M00846,2026-03-07,V0214,TyreWear,Low,7,6,440
M00847,2026-03-07,V0096,BatteryDegradation,Low,8,7,83
M00848,2026-03-07,V0030,SensorMalfunction,Low,6,5,382
M00849,2026-03-07,V0250,TyreWear,Low,8,2,211
M00850,2026-03-07,V0190,BrakeIssue,Medium,5,11,710
M00851,2026-03-08,V0160,BatteryDegradation,Critical,3,76,3827
M00852,2026-03-08,V0231,SensorMalfunction,Medium,15,10,630
M00853,2026-03-08,V0329,SensorMalfunction,High,3,26,1427
M00854,2026-03-08,V0318,SensorMalfunction,Critical,2,73,3670
M00855,2026-03-08,V0166,EngineFault,Critical,2,73,3527
M00856,2026-03-08,V0040,EngineFault,Low,10,6,374
M00857,2026-03-08,V0261,BatteryDegradation,Critical,3,76,3539
M00858,2026-03-08,V0352,BatteryDegradation,Medium,4,10,734
M00859,2026-03-08,V0194,BrakeIssue,Medium,9,10,469
M00860,2026-03-08,V0025,EngineFault,Low,6,2,124
M00861,2026-03-08,V0296,BodyDamage,Medium,14,8,480
